2018-12-06 00:21:57 WARN  Utils:66 - Kubernetes master URL uses HTTP instead of HTTPS.
2018-12-06 00:21:58 WARN  Utils:66 - Your hostname, tem127 resolves to a loopback address: 127.0.1.1; using 192.168.152.227 instead (on interface eno1)
2018-12-06 00:21:58 WARN  Utils:66 - Set SPARK_LOCAL_IP if you need to bind to another address
2018-12-06 00:21:58 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-12-06 00:21:59 INFO  SolrSpark$:17 - Scallop(--term, current, --field, raw, --solr, 192.168.152.201:32181, --index, gov2)
 *  field => raw
 *  term => current
 *  solr => 192.168.152.201:32181
 *  index => gov2
    rows => 1000
    parallelism => 12
    debug => false

2018-12-06 00:21:59 INFO  SparkContext:54 - Running Spark version 2.4.0
2018-12-06 00:21:59 INFO  SparkContext:54 - Submitted application: SolrSpark$
2018-12-06 00:21:59 INFO  SecurityManager:54 - Changing view acls to: root
2018-12-06 00:21:59 INFO  SecurityManager:54 - Changing modify acls to: root
2018-12-06 00:21:59 INFO  SecurityManager:54 - Changing view acls groups to: 
2018-12-06 00:21:59 INFO  SecurityManager:54 - Changing modify acls groups to: 
2018-12-06 00:21:59 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(root); groups with view permissions: Set(); users  with modify permissions: Set(root); groups with modify permissions: Set()
2018-12-06 00:21:59 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 45931.
2018-12-06 00:21:59 INFO  SparkEnv:54 - Registering MapOutputTracker
2018-12-06 00:21:59 INFO  SparkEnv:54 - Registering BlockManagerMaster
2018-12-06 00:21:59 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2018-12-06 00:21:59 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2018-12-06 00:21:59 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-91c7521d-161a-44eb-b88d-5fef634d3996
2018-12-06 00:21:59 INFO  MemoryStore:54 - MemoryStore started with capacity 8.4 GB
2018-12-06 00:21:59 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2018-12-06 00:22:00 INFO  log:192 - Logging initialized @2945ms
2018-12-06 00:22:00 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2018-12-06 00:22:00 INFO  Server:419 - Started @3047ms
2018-12-06 00:22:00 INFO  AbstractConnector:278 - Started ServerConnector@e36bb2a{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2018-12-06 00:22:00 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2018-12-06 00:22:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@537b32ef{/jobs,null,AVAILABLE,@Spark}
2018-12-06 00:22:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6f89f665{/jobs/json,null,AVAILABLE,@Spark}
2018-12-06 00:22:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@df1cff6{/jobs/job,null,AVAILABLE,@Spark}
2018-12-06 00:22:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1ad926d3{/jobs/job/json,null,AVAILABLE,@Spark}
2018-12-06 00:22:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3a43d133{/stages,null,AVAILABLE,@Spark}
